CellType	Gene
CAFs	COL5A2
CAFs	ACTA2
CAFs	MSC
CAFs	VASN
CAFs	ABI3BP
CAFs	C1R
CAFs	ANTXR1
CAFs	MGST1
CAFs	C3
CAFs	PALLD
CAFs	FBN1
CAFs	CPXM1
CAFs	CYBRD1
CAFs	IGFBP5
CAFs	PRELP
CAFs	PAPSS2
CAFs	MMP2
CAFs	CKAP4
CAFs	CCDC80
CAFs	ADAMTS2
CAFs	TPM1
CAFs	PCSK5
CAFs	ELN
CAFs	CXCL12
CAFs	OLFML2B
CAFs	PLAC9
CAFs	RCN3
CAFs	LTBP2
CAFs	NID2
CAFs	SCARA3
CAFs	AMOTL2
CAFs	TPST1
CAFs	MIR100HG
CAFs	CTGF
CAFs	RARRES2
CAFs	FHL2
Endothelial cells	PECAM1
Endothelial cells	VWF
Endothelial cells	CDH5
Endothelial cells	CLDN5
Endothelial cells	PLVAP
Endothelial cells	ECSCR
Endothelial cells	SLCO2A1
Endothelial cells	CCL14
Endothelial cells	MMRN1
Endothelial cells	MYCT1
Endothelial cells	KDR
Endothelial cells	TM4SF18
Endothelial cells	TIE1
Endothelial cells	ERG
Endothelial cells	FABP4
Endothelial cells	SDPR
Endothelial cells	HYAL2
Endothelial cells	FLT4
Endothelial cells	EGFL7
Endothelial cells	ESAM
Endothelial cells	CXorf36
Endothelial cells	TEK
Endothelial cells	TSPAN18
Endothelial cells	EMCN
Endothelial cells	MMRN2
Endothelial cells	ELTD1
Endothelial cells	PDE2A
Endothelial cells	NOS3
Endothelial cells	ROBO4
Endothelial cells	APOLD1
Endothelial cells	PTPRB
Endothelial cells	RHOJ
Endothelial cells	RAMP2
Endothelial cells	GPR116
Endothelial cells	F2RL3
Endothelial cells	JUP
Endothelial cells	CCBP2
Endothelial cells	GPR146
Endothelial cells	RGS16
Endothelial cells	TSPAN7
Endothelial cells	RAMP3
Endothelial cells	PLA2G4C
Endothelial cells	TGM2
Endothelial cells	LDB2
Endothelial cells	PRCP
Endothelial cells	ID1
Endothelial cells	SMAD1
Endothelial cells	AFAP1L1
Endothelial cells	ELK3
Endothelial cells	ANGPT2
Endothelial cells	LYVE1
Endothelial cells	ARHGAP29
Endothelial cells	IL3RA
Endothelial cells	ADCY4
Endothelial cells	TFPI
Endothelial cells	TNFAIP1
Endothelial cells	SYT15
Endothelial cells	DYSF
Endothelial cells	PODXL
Endothelial cells	SEMA3A
Endothelial cells	DOCK9
Endothelial cells	F8
Endothelial cells	NPDC1
Endothelial cells	TSPAN15
Endothelial cells	CD34
Endothelial cells	THBD
Endothelial cells	ITGB4
Endothelial cells	RASA4
Endothelial cells	COL4A1
Endothelial cells	ECE1
Endothelial cells	GFOD2
Endothelial cells	EFNA1
Endothelial cells	PVRL2
Endothelial cells	GNG11
Endothelial cells	HERC2P2
Endothelial cells	MALL
Endothelial cells	HERC2P9
Endothelial cells	PPM1F
Endothelial cells	PKP4
Endothelial cells	LIMS3
Endothelial cells	CD9
Endothelial cells	RAI14
Endothelial cells	ZNF521
Endothelial cells	RGL2
Endothelial cells	HSPG2
Endothelial cells	TGFBR2
Endothelial cells	RBP1
Endothelial cells	FXYD6
Endothelial cells	MATN2
Endothelial cells	S1PR1
Endothelial cells	PIEZO1
Endothelial cells	PDGFA
Endothelial cells	ADAM15
Endothelial cells	HAPLN3
Endothelial cells	APP
Macrophages	CD163
Macrophages	CD14
Macrophages	CSF1R
Macrophages	C1QC
Macrophages	VSIG4
Macrophages	C1QA
Macrophages	FCER1G
Macrophages	F13A1
Macrophages	TYROBP
Macrophages	MSR1
Macrophages	C1QB
Macrophages	MS4A4A
Macrophages	FPR1
Macrophages	S100A9
Macrophages	IGSF6
Macrophages	LILRB4
Macrophages	FPR3
Macrophages	SIGLEC1
Macrophages	LILRA1
Macrophages	LYZ
Macrophages	HK3
Macrophages	SLC11A1
Macrophages	CSF3R
Macrophages	CD300E
Macrophages	PILRA
Macrophages	FCGR3A
Macrophages	AIF1
Macrophages	SIGLEC9
Macrophages	FCGR1C
Macrophages	OLR1
Macrophages	TLR2
Macrophages	LILRB2
Macrophages	C5AR1
Macrophages	FCGR1A
Macrophages	MS4A6A
Macrophages	C3AR1
Macrophages	HCK
Macrophages	IL4I1
Macrophages	LST1
Macrophages	LILRA5
Macrophages	CSTA
Macrophages	IFI30
Macrophages	CD68
Macrophages	TBXAS1
Macrophages	FCGR1B
Macrophages	LILRA6
Macrophages	CXCL16
Macrophages	NCF2
Macrophages	RAB20
Macrophages	MS4A7
Macrophages	NLRP3
Macrophages	LRRC25
Macrophages	ADAP2
Macrophages	SPP1
Macrophages	CCR1
Macrophages	TNFSF13
Macrophages	RASSF4
Macrophages	SERPINA1
Macrophages	MAFB
Macrophages	IL18
Macrophages	FGL2
Macrophages	SIRPB1
Macrophages	CLEC4A
Macrophages	MNDA
Macrophages	FCGR2A
Macrophages	CLEC7A
Macrophages	SLAMF8
Macrophages	SLC7A7
Macrophages	ITGAX
Macrophages	BCL2A1
Macrophages	PLAUR
Macrophages	SLCO2B1
Macrophages	PLBD1
Macrophages	APOC1
Macrophages	RNF144B
Macrophages	SLC31A2
Macrophages	PTAFR
Macrophages	NINJ1
Macrophages	ITGAM
Macrophages	CPVL
Macrophages	PLIN2
Macrophages	C1orf162
Macrophages	FTL
Macrophages	LIPA
Macrophages	CD86
Macrophages	GLUL
Macrophages	FGR
Macrophages	GK
Macrophages	TYMP
Macrophages	GPX1
Macrophages	NPL
Macrophages	ACSL1
B cells	CD19
B cells	CD79A
B cells	CD79B
B cells	BLK
B cells	MS4A1
B cells	BANK1
B cells	IGLL3P
B cells	FCRL1
B cells	PAX5
B cells	CLEC17A
B cells	CD22
B cells	BCL11A
B cells	VPREB3
B cells	HLA-DOB
B cells	STAP1
B cells	FAM129C
B cells	TLR10
B cells	RALGPS2
B cells	AFF3
B cells	POU2AF1
B cells	CXCR5
B cells	PLCG2
B cells	HVCN1
B cells	CCR6
B cells	P2RX5
B cells	BLNK
B cells	KIAA0226L
B cells	POU2F2
B cells	IRF8
B cells	FCRLA
B cells	CD37
T cells	CD2
T cells	CD3D
T cells	CD3E
T cells	CD3G
T cells	CD8A
T cells	SIRPG
T cells	TIGIT
T cells	GZMK
T cells	ITK
T cells	SH2D1A
T cells	CD247
T cells	PRF1
T cells	NKG7
T cells	IL2RB
T cells	SH2D2A
T cells	KLRK1
T cells	ZAP70
T cells	CD7
T cells	CST7
T cells	LAT
T cells	PYHIN1
T cells	SLA2
T cells	STAT4
T cells	CD6
T cells	CCL5
T cells	CD96
T cells	TC2N
T cells	FYN
T cells	LCK
T cells	TCF7
T cells	TOX
T cells	IL32
T cells	SPOCK2
T cells	SKAP1
T cells	CD28
T cells	CBLB
T cells	APOBEC3G
T cells	PRDM1
